Date,Open,High,Low,Close,Volume
05/16/2023,"98.89","98.95","98.74","98.91","6,728,498"
05/15/2023,"99.21","99.22","99.10","99.14","8,532,590"
05/12/2023,"99.89","99.95","99.39","99.39","4,286,034"
05/11/2023,"100.11","100.19","99.88","99.95","7,703,942"
05/10/2023,"99.43","99.68","99.39","99.65","4,803,044"
05/09/2023,"99.11","99.19","99.01","99.01","5,712,210"
05/08/2023,"99.21","99.35","99.08","99.10","5,481,302"
05/05/2023,"99.64","99.72","99.45","99.65","4,003,005"
05/04/2023,"99.77","100.42","99.75","99.97","5,262,191"
05/03/2023,"99.89","100.13","99.69","100.09","5,637,180"
05/02/2023,"98.96","99.67","98.93","99.65","6,085,943"
05/01/2023,"99.35","99.41","98.60","98.69","10,631,640"
04/28/2023,"99.99","99.99","99.72","99.96","5,469,882"
04/27/2023,"99.61","99.63","99.39","99.45","4,018,321"
04/26/2023,"100.16","100.22","99.72","99.81","3,723,566"
04/25/2023,"99.97","100.25","99.96","100.18","5,065,415"
04/24/2023,"99.42","99.59","99.36","99.56","3,256,883"
04/21/2023,"99.51","99.56","99.11","99.17","5,367,257"
04/20/2023,"99.21","99.36","99.19","99.34","5,092,430"
04/19/2023,"98.89","98.93","98.71","98.89","3,592,906"
04/18/2023,"98.91","99.16","98.91","99.04","4,753,036"
04/17/2023,"99.13","99.18","98.88","98.90","4,441,277"
04/14/2023,"99.56","99.59","99.32","99.40","4,794,084"
04/13/2023,"100.16","100.27","99.81","99.89","3,964,799"
04/12/2023,"100.17","100.20","99.61","99.93","7,226,075"
04/11/2023,"99.81","99.88","99.59","99.81","4,543,802"
04/10/2023,"99.89","99.91","99.60","99.75","4,477,955"
04/06/2023,"100.56","100.69","100.44","100.44","6,105,185"
04/05/2023,"100.50","100.98","100.41","100.53","9,883,500"
04/04/2023,"99.55","100.30","99.50","100.19","8,925,168"
04/03/2023,"99.28","99.86","99.21","99.82","7,567,059"
03/31/2023,"99.39","99.69","99.16","99.64","8,521,604"
03/30/2023,"99.03","99.23","98.95","99.16","4,251,904"
03/29/2023,"98.74","99.11","98.72","99.05","5,111,265"
03/28/2023,"98.98","99.05","98.82","98.93","6,356,361"
03/27/2023,"99.39","99.52","99.07","99.08","6,823,373"
03/24/2023,"100.28","100.49","99.95","100.16","6,217,707"
03/23/2023,"99.68","100.05","99.51","99.99","9,949,714"
03/22/2023,"98.80","99.82","98.64","99.75","7,585,382"
03/21/2023,"98.88","99.03","98.70","98.80","5,499,073"
03/20/2023,"99.73","99.73","99.02","99.10","6,346,444"
03/17/2023,"99.29","99.80","99.21","99.50","8,277,602"
03/16/2023,"99.53","99.72","98.68","98.88","15,219,710"
03/15/2023,"99.43","99.70","98.81","99.27","11,133,660"
03/14/2023,"98.77","98.82","98.09","98.29","8,159,781"
03/13/2023,"99.05","99.65","98.62","98.87","10,344,140"
03/10/2023,"97.79","98.32","97.76","98.09","7,515,785"
03/09/2023,"96.76","97.15","96.70","96.96","7,054,402"
03/08/2023,"96.90","97.08","96.48","96.61","8,044,025"
03/07/2023,"96.98","97.03","96.57","96.71","6,013,304"
03/06/2023,"97.27","97.29","96.81","96.84","4,188,489"
03/03/2023,"96.85","97.08","96.59","97.08","7,266,999"
03/02/2023,"96.15","96.35","96.11","96.32","9,247,374"
03/01/2023,"96.83","97.04","96.50","96.52","9,125,349"
02/28/2023,"96.99","97.37","96.93","97.31","8,575,033"
02/27/2023,"97.41","97.49","97.22","97.32","5,040,022"
02/24/2023,"97.22","97.26","96.97","97.13","4,866,858"
02/23/2023,"97.40","97.72","97.37","97.69","8,527,182"
02/22/2023,"97.40","97.59","97.30","97.34","5,862,307"
02/21/2023,"97.36","97.46","97.08","97.08","8,369,587"
02/17/2023,"97.53","98.01","97.53","98.00","5,956,279"
02/16/2023,"97.88","98.03","97.69","97.77","5,235,622"
02/15/2023,"98.24","98.36","98.03","98.18","6,489,232"
02/14/2023,"98.67","98.76","98.11","98.37","9,559,496"
02/13/2023,"98.49","98.72","98.46","98.72","6,832,726"
02/10/2023,"98.82","98.83","98.40","98.42","5,068,200"
02/09/2023,"99.54","99.56","98.83","98.85","5,594,835"
02/08/2023,"99.14","99.43","98.95","99.24","4,900,645"
02/07/2023,"99.15","99.57","99.06","99.10","6,224,773"
02/06/2023,"99.31","99.42","99.23","99.27","9,198,870"
02/03/2023,"99.95","100.13","99.52","99.82","9,082,975"
02/02/2023,"101.04","101.15","100.74","100.79","9,197,909"
02/01/2023,"100.19","100.78","99.86","100.68","11,593,330"
01/31/2023,"100.16","100.34","99.83","100.22","12,083,590"
01/30/2023,"99.90","100.09","99.80","99.81","6,822,012"
01/27/2023,"99.96","100.14","99.91","100.08","5,123,098"
01/26/2023,"100.33","100.46","100.07","100.23","5,399,092"
01/25/2023,"100.26","100.47","100.10","100.40","5,431,036"
01/24/2023,"99.84","100.32","99.68","100.28","6,538,592"
01/23/2023,"99.80","100.06","99.78","99.84","6,573,240"
01/20/2023,"100.17","100.26","99.89","100.09","6,095,775"
01/19/2023,"100.73","100.73","100.33","100.50","8,633,834"
01/18/2023,"100.76","100.88","100.37","100.73","7,779,524"
01/17/2023,"99.74","99.96","99.65","99.74","8,174,659"
01/13/2023,"100.02","100.26","99.83","99.92","6,719,042"
01/12/2023,"99.84","100.53","99.49","100.29","8,342,746"
01/11/2023,"99.28","99.57","99.26","99.57","6,102,954"
01/10/2023,"99.02","99.15","98.74","98.96","7,291,301"
01/09/2023,"99.06","99.50","99.00","99.34","7,849,643"
01/06/2023,"98.13","99.15","98.04","99.09","8,503,052"
01/05/2023,"97.64","98.06","97.57","98.02","9,682,089"
01/04/2023,"98.17","98.25","97.89","98.10","10,080,090"
01/03/2023,"97.97","97.97","97.37","97.56","19,930,920"
12/30/2022,"97.25","97.36","96.97","96.99","8,469,000"
12/29/2022,"97.21","97.47","97.18","97.45","7,763,261"
